Time,Outdoor,,,,,,,,Solar and UVI,,Rainfall,,,,,,,Wind,,,Pressure,,,
,Temperature(℃),Temperature Low(℃),Temperature High(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Humidity Low(%),Humidity High(%),Solar(W/m²),UVI,Rain Rate(mm/hr),Daily(mm),Event(mm),Hourly(mm),Weekly(mm),Monthly(mm),Yearly(mm),Wind Speed(km/h),Wind Gust(km/h),Wind Direction(º),Relative(hPa),Relative Low(hPa),Relative High(hPa),Absolute(hPa)
2023-01-01 01:00:00,18.4,11,22.2,18.4,8.7,56,38,99,326.1,3,6,6.9,9.4,2.5,9.4,9.4,-,8.1,56.8,248,1020.3,1016.7,1024.3,1003.2
2023-01-02 01:00:00,9.2,3.1,13.5,9.2,7.2,88,58,99,288.8,2,16.8,26.6,33.5,0,33.5,33.5,-,1.1,11.1,155,1030.4,1022.7,1034.6,1013.3
2023-01-03 01:00:00,6.2,1.8,16.4,6.2,3.7,86,50,99,1064.9,10,1.8,0.3,33.5,0,33.8,33.8,-,1.2,7.2,172,1036,1033.6,1038.4,1018.9
2023-01-04 01:00:00,8.9,2.8,18.4,8.9,6.3,85,56,96,260.7,2,0,0,0,0,33.8,33.8,-,1.2,9.3,159,1038.4,1037.2,1039.7,1021.3
2023-01-05 01:00:00,8.7,3.7,17.9,8.7,6.6,88,60,99,303.1,2,0,0,0,0,33.8,33.8,-,1.2,9.3,175,1033.6,1030.6,1038.1,1016.5
2023-01-06 01:00:00,8.8,3.1,16.8,8.8,4.6,81,19,99,427.2,4,1.2,0.2,0.2,0,34,34,-,2.7,33.2,172,1027.5,1021.3,1031,1010.5
2023-01-07 01:00:00,13.3,9.9,16.6,13.3,7,68,29,99,282.4,2,3,2.6,2.8,0.2,0.2,36.8,-,13,58.7,209,1018.9,1016.8,1022.1,1001.8
2023-01-08 01:00:00,11.3,7.2,16.6,11.2,9.1,88,57,99,256.3,2,24,26.6,30,0.8,27.4,64,-,5.5,34.9,279,1015.7,1011.7,1021.5,998.6
2023-01-09 01:00:00,9.5,5,13.9,9.4,5.3,76,58,97,293.6,2,9,3.9,33.1,0,30.5,67.1,-,5,25.6,287,1028.4,1021.2,1033.2,1011.3
2023-01-10 01:00:00,10.4,2.9,18.1,10.4,5.9,76,52,97,272.8,2,0,0,33.1,0,30.5,67.1,-,3.3,34.9,160,1029.9,1026.7,1032.3,1012.8
2023-01-11 01:00:00,11.1,5.4,17.1,11.1,8.6,86,54,99,186.4,1,19.8,21.3,21.3,0,51.8,88.4,-,3,25.6,259,1033.4,1025.9,1037.1,1016.3
2023-01-12 01:00:00,7.7,2.9,13.8,7.7,6.2,91,72,99,308.4,3,1.2,0.2,21.5,0,52,88.6,-,1.2,9.3,149,1032.3,1029.9,1036,1015.2
2023-01-13 01:00:00,11.3,5.8,17.1,11.3,9.3,88,70,99,358.3,3,1.8,0.6,0.6,0,52.6,89.2,-,1.8,16.6,274,1031.9,1029.6,1034.1,1014.8
2023-01-14 01:00:00,15.8,6,19.9,15.8,6.5,55,41,99,290.2,2,1.2,0.2,0.2,0,0,89.4,-,8.2,38.5,211,1024.3,1019.8,1030,1007.4
2023-01-15 01:00:00,9.2,4.3,15.5,8.8,4.6,75,41,98,353.6,3,16.8,22.9,23.1,0.2,23.1,112.5,-,5.9,46,284,1025.4,1015,1029.7,1009
2023-01-16 01:00:00,9.8,8.3,14.6,9.1,8.2,91,61,99,32.4,0,21,125.9,153.7,4.9,153.7,243.1,-,7.5,43.9,295,1008.1,996.9,1015.6,991.7
2023-01-17 01:00:00,6.1,1.9,11.6,4,4.1,87,70,97,334,3,25.8,71.9,228.6,7.6,228.6,318,-,12,51.5,287,1002.2,997.6,1005.6,985.8
2023-01-18 01:00:00,3,0.4,5.8,2.4,2.2,95,75,99,223.8,2,21.6,50.3,263.9,4.6,276.1,365.5,-,3.6,34.9,15,1016,1004,1027.4,998.1
2023-01-19 01:00:00,7.9,2.5,11.9,7.5,6,88,71,99,131.9,1,38.4,57.9,65.5,0,329.4,418.8,-,7.4,49.7,286,1023.1,1016.5,1028.3,1002.4
2023-01-20 01:00:00,7.5,4.4,12.4,7.5,5.6,88,63,99,383.4,3,1.8,0.8,66.3,0,330.2,419.6,-,0.7,7.2,131,1030.9,1026.1,1032.7,1010.2
2023-01-21 01:00:00,4.1,-0.3,9.5,4.1,1.8,86,60,99,389.9,3,1.8,0.3,0.3,0,0,419.9,-,1.3,9.3,160,1035.8,1032.5,1039.5,1015.1
2023-01-22 01:00:00,2.5,-1.3,9.5,2.5,0.5,88,60,99,428.5,4,0,0,0,0,0,419.9,-,1.2,13,173,1041.1,1039,1042.6,1020.4
2023-01-23 01:00:00,3.7,1.2,5.1,3.7,3.3,97,94,99,38.2,0,4.8,11.4,11.6,0.2,11.6,431.5,-,0.4,5.5,169,1039.8,1038,1041.3,1019.1
2023-01-24 01:00:00,4.2,2.7,6,4.2,3.8,97,87,99,319.2,3,7.8,11.7,23.1,0,23.1,443,-,0.5,7.2,176,1039.9,1038.1,1041.7,1019.2
2023-01-25 01:00:00,5.1,2.9,7.4,5.1,4.3,95,76,99,105.8,1,4.2,4.8,23.1,0,27.9,447.8,-,0.5,7.2,149,1041,1038.3,1042.7,1020.3
2023-01-26 01:00:00,6.2,5.3,7.4,6.2,5.7,97,87,99,150,1,7.8,14,18.8,0,41.9,461.8,-,1.1,14.8,83,1034,1031.3,1038.4,1013.3
2023-01-27 01:00:00,5.6,3.8,8.4,5.5,4.7,94,72,99,469.3,4,15.6,25.9,45.9,1.2,69,488.9,5104.2,1.3,20.1,96,1033.6,1032,1035.5,1012.9
2023-01-28 01:00:00,4.6,3.1,6.9,4.6,4.2,97,87,99,229.4,2,7.2,19.8,64.5,0,0,507.5,5122.8,0.8,18.3,146,1036.8,1034.4,1039.4,1016.1
2023-01-29 01:00:00,5,3.3,8.1,5,3.5,91,64,99,380,3,3,2.8,67.3,0,2.8,510.3,5125.6,0.7,14.8,157,1039.3,1037.9,1040.8,1018.6
2023-01-30 01:00:00,4.7,0.9,10.5,4.7,2.6,88,58,99,399.1,3,0,0,67.3,0,2.8,510.3,5125.6,0.7,9.3,160,1041.4,1039.5,1043.4,1020.7
