Time,Exterior,,,,,,,,Interior,,,,,,Radición solar y UVI,,Precipitaciones,,,,,,,Viento,,,Presión,,,
,Temperature(℃),Temperature Low(℃),Temperature High(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Humidity Low(%),Humidity High(%),Temperature(℃),Temperature Low(℃),Temperature High(℃),Humidity(%),Humidity Low(%),Humidity High(%),Solar(W/m²),UVI,Rain Rate(mm/hr),Daily(mm),Event(mm),Hourly(mm),Weekly(mm),Monthly(mm),Yearly(mm),Wind Speed(km/h),Wind Gust(km/h),Wind Direction(º),Relative(hPa),Relative Low(hPa),Relative High(hPa),Absolute(hPa)
2024-01-01 01:00,"10,7","5,3","16,2","10,7","4,5",69,40,93,"13,9","12,0","24,9",61,41,65,"287,6",2,"0,0","0,0","0,0","0,0","7,1","0,0","6000,0","2,6","33,2",175,"1020,4","1016,0","1023,9","1005,4"
2024-01-02 01:00,"15,0","9,8","17,7","15,0","7,5",63,37,99,"13,2","12,9","14,3",62,60,64,"92,4",0,"1,8","1,8","1,5","0,0","8,9","1,8","6000,0","12,0","53,3",210,"1017,8","1010,2","1023,5","999,2"
2024-01-03 01:00,"10,9","5,3","16,0","10,9","9,5",92,61,99,"13,3","12,7","15,1",65,61,66,"270,6",2,"0,0","0,0","1,5","0,0","8,9","1,8","6000,0","0,8","9,3",147,"1022,7","1019,1","1027,1","1003,6"
2024-01-04 01:00,"11,1","4,3","18,4","11,1","5,9",74,42,98,"13,6","12,3","18,3",63,53,66,"319,2",3,"1,8","0,5","0,5","0,3","9,7","2,6","6000,0","3,8","43,9",171,"1018,7","1015,5","1022,1","999,6"
2024-01-05 01:00,"8,4","6,4","10,4","8,0","5,9",85,71,99,"13,2","12,0","18,8",64,55,65,"389,0",3,"21,6","27,2","24,4","7,4","44,0","36,9","6000,0","4,3","23,8",307,"1020,9","1018,2","1025,7","999,4"
2024-01-06 01:00,"6,5","4,3","8,8","6,3","5,8",96,81,99,"12,3","11,7","13,5",64,62,65,"347,4",3,"27,6","46,7","49,5","0,3","0,3","76,5","6000,0","2,1","23,8",38,"1024,3","1019,3","1031,4","1008,3"
2024-01-07 01:00,"6,0","3,6","10,1","6,0","5,6",97,84,99,"12,0","11,2","17,6",64,56,66,"450,2",4,"12,0","14,2","19,8","0,0","14,2","90,4","6000,0","0,8","11,1",146,"1021,7","1019,0","1024,7","1012,5"
2024-01-08 01:00,"5,5","2,7","11,7","5,5","3,9",90,63,99,"12,5","10,8","25,3",62,39,66,"304,9",2,"4,8","3,8","12,4","0,0","18,0","94,2","6000,0","1,0","9,3",150,"1018,8","1016,9","1020,8","1010,2"
2024-01-09 01:00,"3,5","-0,3","9,0","3,5","2,4",93,74,99,"11,4","10,3","14,9",63,56,65,"382,2",3,"0,0","0,0","0,0","0,0","18,0","94,2","6000,0","0,7","9,3",159,"1018,8","1016,8","1020,7","1008,1"
2024-01-10 01:00,"5,0","2,8","6,6","5,0","4,6",97,92,99,"10,2","9,7","10,5",64,64,65,"72,4",0,"4,8","5,6","3,8","0,0","23,6","99,8","6000,0","0,6","9,3",131,"1020,4","1016,6","1024,4","1008,2"
2024-01-11 01:00,"4,4","2,5","6,1","4,4","4,0",98,91,99,"9,7","9,3","11,0",65,62,65,"239,8",2,"3,6","6,4","6,4","0,2","30,2","106,4","6000,0","0,4","7,2",138,"1023,3","1020,2","1027,0","1013,9"
2024-01-12 01:00,"5,5","0,4","12,5","5,5","4,3",92,68,99,"11,0","9,2","25,1",61,35,66,"290,2",2,"1,8","1,2","2,5","0,0","31,2","107,4","6000,0","1,2","13,0",141,"1019,8","1016,6","1022,9","1013,9"
2024-01-13 01:00,"10,1","0,9","20,0","10,1","4,4",73,36,97,"10,5","8,9","14,7",62,53,65,"271,1",2,"0,0","0,0","0,0","0,0","0,0","107,4","6000,0","4,3","40,4",160,"1017,3","1012,4","1021,1","1007,4"
2024-01-14 01:00,"10,3","6,5","16,5","10,3","9,3",94,67,99,"10,5","10,0","11,4",64,62,65,"204,7",2,"9,0","3,3","3,0","0,0","3,3","110,7","6000,0","1,1","14,8",126,"1018,6","1016,5","1021,0","1003,0"
