Time,Outdoor,,,,,,,,,Solar and UVI,,Rainfall,,,,,,,,Wind Speed(km/h),,,,Pressure,,,
,Temperature(℃),Temperature Low(℃),Temperature High(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Humidity Low(%),Humidity High(%),VPD(kPa),Solar(W/m²),UVI,Rain Rate(mm/hr),Daily(mm),Event(mm),Hourly(mm),24 Hours(mm),Weekly(mm),Monthly(mm),Yearly(mm),Wind Speed(km/h),Wind Gust(km/h),Wind Direction(º),10-minute Average Wind Direction(º),Relative(hPa),Relative Low(hPa),Relative High(hPa),Absolute(hPa)
2025-01-01 01:00:00,5.9,0.3,14.5,5.9,3.2,85,42,99,,254.2,2,1.8,0.3,0.3,0,,1.2,0.3,762.1,2,23.8,159,,1019.9,1015.4,1022.3,1014.4
2025-01-02 01:00:00,10.2,6.4,14.5,10.2,4.8,70,49,93,,176.9,1,0,0,0,0,,1.2,0.3,762.1,1.5,25.6,134,,1020.4,1018,1022.4,1011.5
2025-01-03 01:00:00,10.6,8,14.2,10.6,9.8,95,66,99,,76.3,0,4.8,17,15.5,0,,18.2,17.3,779.1,0.8,13,84,,1019.1,1015.9,1022,1007.5
2025-01-04 01:00:00,15.1,10.7,19,15.1,8.9,70,43,99,,285.8,2,1.8,1.5,1,0,,0,0,0,9,51.5,192,,1018.8,1014.4,1021.3,1002.7
2025-01-05 01:00:00,16.9,15.5,18.6,16.9,8.6,58,51,63,,293.2,2,0,0,0,0,,0,0,0,16.5,66.3,215,,1017.4,1010.8,1022.4,990
2025-01-06 01:00:00,10,4.4,16.9,10,6.9,82,52,96,,245.9,2,19.8,25.7,25.7,0,,25.7,25.7,25.7,6.3,78.9,273,,1026.3,1019.9,1034.4,994.4
2025-01-07 01:00:00,11.1,3.2,17.3,11.1,5.6,71,54,96,,162.2,1,0,0,0,0,,25.7,25.7,25.7,10.2,53.3,192,,1020.6,1016,1022.3,1000.3
2025-01-08 01:00:00,16.6,15.9,17.6,16.6,8.7,60,53,65,,173,1,0,0,0,0,,25.7,25.7,25.7,16.7,69.8,210,,1019.1,1016.1,1021.5,996
2025-01-09 01:00:00,12.1,7.3,16.2,12.1,9.1,84,54,99,,176.9,1,4.8,2.8,1.5,0,,28.5,28.5,28.5,4.6,49.7,207,,1024.7,1020.3,1033.6,1004.8
2025-01-10 01:00:00,13.4,6.5,22.2,13.4,10.1,83,47,99,,404.2,3,6,3.6,3.6,3.6,,35.2,35.2,35.2,2.1,20.1,122,,1021.2,1019.2,1023.7,1008.4
2025-01-11 01:00:00,11.9,7.7,16.4,11.9,11.2,96,78,99,,108.9,1,12.6,21.6,21.6,0.3,,0.3,53.5,53.5,2.4,21.9,301,,1023.9,1019.6,1029.2,1016.1
2025-01-12 01:00:00,7.3,0.1,12.5,7.3,5.7,90,61,99,,285.8,2,7.2,2.5,2.5,0,,2.5,55.7,55.7,1.1,13,150,,1021.9,1020.1,1024,1023.1
2025-01-13 01:00:00,3.1,-1.1,10.6,3.1,0.9,87,64,99,,248.5,2,0,0,0,0,,2.5,55.7,55.7,1.4,11.1,142,,1020.3,1016.7,1023.2,1023
2025-01-14 01:00:00,2.7,-2.2,11.9,2.7,0.9,89,57,99,,257.1,2,1.8,0.3,0.3,0,,2.8,56,56,1.2,9.3,165,,1020.5,1016.3,1024.4,1021.3
2025-01-15 01:00:00,2.9,-2.1,12.8,2.9,1,89,52,99,,262.8,2,1.8,0.5,0.5,0,,3.3,56.5,56.5,1.3,7.2,178,,1020.2,1016.5,1022.7,1020
2025-01-16 01:00:00,5,0.1,12.1,5,4.2,95,78,99,,213,2,1.8,0.3,0.3,0,,3.6,56.8,56.8,0.9,5.5,165,,1019.9,1016.4,1023.3,1016.9
2025-01-17 01:00:00,4.9,-0.9,16.1,4.9,2,84,43,99,,283.7,2,1.8,0.3,0.3,0,,3.9,57.1,57.1,1.6,14.8,159,,1021.4,1019.9,1023,1017.5
2025-01-18 01:00:00,5.2,-0.6,14.9,5.2,2,82,46,96,,307.6,3,0,0,0,0,,0,57.1,57.1,2.1,16.6,166,,1019.7,1015.9,1021.6,1013.8
2025-01-19 01:00:00,7.7,-0.2,15.9,7.7,2.1,71,38,96,,309.6,3,1.8,0.8,0.8,0,,0.8,57.9,57.9,4.7,34.9,182,,1018.7,1011.5,1022.4,1005.2
2025-01-20 01:00:00,10,4.9,16,10,6.3,79,56,98,,335.7,3,6,2.3,2.3,0,,3.1,60.2,60.2,2.6,21.9,178,,1020.9,1018.6,1022.2,1000.9
2025-01-21 01:00:00,14.6,6,19.8,14.6,9,70,54,92,,334.8,3,0,0,0,0,,3.1,60.2,60.2,6.7,36.7,186,,1019,1014.3,1022.5,994.8
2025-01-22 01:00:00,15.5,9.6,18.2,15.5,10.3,72,59,99,,353.9,3,13.8,10.9,11.2,3.8,,17.8,74.9,74.9,8.1,56.8,230,,1021.1,1017.2,1030.4,992.8
2025-01-23 01:00:00,10.3,5.8,16.8,10.3,8.6,90,66,99,,327.5,3,3,5.3,5.3,0,,19.3,76.4,76.4,1.6,20.1,171,,1024.3,1020.4,1027.9,1003.6
2025-01-24 01:00:00,17.8,13.2,19.1,17.8,8.2,53,41,65,,114.5,14,0,0,0,0,,19.3,76.4,76.4,17.2,73.4,218,,1018.9,1015.1,1022.2,997.7
2025-01-25 01:00:00,11.6,4.2,16.5,11.6,7.8,79,55,99,,410.8,4,19.8,10.9,7.1,0,,0,87.3,87.3,7.2,53.3,224,,1023.4,1020,1027,1000
2025-01-26 01:00:00,15.5,5.3,20,15.5,7.5,59,45,96,,186.9,1,13.8,4.6,4.6,4.6,,4.6,91.9,91.9,19.7,86.4,211,,1013.7,1007.4,1022.6,992.1
2025-01-27 01:00:00,11.4,8.1,16.6,11.4,8.9,86,55,99,,400.8,3,16.8,13.5,13,0,,13.5,100.8,100.8,3,27.7,171,,1022.6,1018.6,1025.3,990.5
2025-01-28 01:00:00,10.3,5.7,13.3,9.9,3.7,65,49,89,,422.1,4,4.8,1.3,0.8,0,,14.8,102.1,102.1,8,40.4,255,,1023.2,1019.1,1029.3,1000.7
2025-01-29 01:00:00,11.6,7.1,14.4,11.5,5.3,66,47,97,,389.5,3,4.8,3.8,2.5,1.3,,19.9,107.2,107.2,11.5,62.3,205,,1015.3,1005,1023.9,996
2025-01-30 01:00:00,8,4.7,9.9,6.6,6,87,73,96,,154.4,1,15,26.6,24.1,0,,45.2,132.5,132.5,10,55,318,,1027.5,1020.5,1040.2,1010.1
2025-01-31 01:00:00,6.5,1.6,14.9,6.5,4.2,87,53,99,,395.6,3,1.8,0.5,0.3,0,,45.7,0,133,0.9,9.3,172,,1020.4,1018.7,1021.8,1018.5
2025-02-01 01:00:00,8.8,3.2,11.1,8.8,7.8,94,76,99,,151,1,6,6.7,6.4,0,,0,6.7,139.7,2.5,21.9,316,,1019.2,1016.9,1021.4,1012.9
2025-02-02 01:00:00,6.9,3.2,9.4,6.7,6.1,95,82,99,,101.4,1,10.8,23.4,18,0,,23.4,30.1,163.1,2.3,25.6,195,,1020,1016.3,1024.7,1009.7
2025-02-03 01:00:00,8.7,3.2,15.5,8.7,7.2,91,69,99,,401.6,3,0,0,0,0,,23.4,30.1,163.1,1,11.1,150,,1022,1019.9,1023.7,1014.3
2025-02-04 01:00:00,6.7,0.4,16.9,6.7,4.1,86,49,99,,373.5,3,0,0,0,0,,23.4,30.1,163.1,1.7,16.6,174,,1021.9,1019.1,1027.5,1016.7
2025-02-05 01:00:00,7.8,2,15.9,7.8,6.3,91,72,99,,374.7,3,0,0,0,0,,23.4,30.1,163.1,0.9,7.2,166,,1022.1,1020.1,1024,1023.6
2025-02-06 01:00:00,6.9,0.9,15.1,6.9,5.3,91,57,99,,369.6,3,1.8,0.3,0.3,0,,23.7,30.4,163.4,1.3,14.8,164,,1018,1012.2,1020.8,1017
2025-02-07 01:00:00,7.6,4.5,13.5,7.3,5.6,89,60,99,,485.8,4,15.6,21.6,18.8,0,,45.3,52,185,3.9,33.2,231,,1018.6,1007.8,1030.4,1003.9
2025-02-08 01:00:00,7.7,2.8,13.2,7.6,3.9,78,60,96,,508.8,4,0,0,0,0,,0,52,185,2.5,20.1,242,,1021.7,1019.5,1024.9,1010.1
2025-02-09 01:00:00,11.5,6.9,18.9,11.5,10.2,93,67,99,,404.2,3,6,6.6,6.6,0,,6.6,58.6,191.6,0.6,11.1,135,,1020.5,1018.4,1022.5,1010.1
2025-02-10 01:00:00,11.7,8,17.2,11.7,10.6,93,75,99,,244.2,2,1.8,0.6,0.3,0,,7.2,59.2,192.2,0.4,7.2,147,,1019.3,1015.7,1021.1,1006.6
2025-02-11 01:00:00,14.6,7.7,19.9,14.6,7.4,64,44,98,,426.3,4,0,0,0,0,,7.2,59.2,192.2,6.6,53.3,192,,1019.7,1016.1,1021.3,1001
2025-02-12 01:00:00,10.9,8.2,15.9,10.9,9.2,90,59,99,,536.6,5,33.6,44,42.7,0,,51.2,103.2,236.2,2.7,23.8,290,,1024.1,1020.6,1027.9,1005.9
2025-02-13 01:00:00,10.3,5.5,15,10.3,9.5,95,78,99,,168.2,1,1.8,0.8,0.3,0,,52,104,237,0.2,5.5,126,,1020.4,1018.4,1021.9,1007.7
2025-02-14 01:00:00,12.3,5.8,20.8,12.3,9.8,86,59,99,,448.5,4,0,0,0,0,,52,104,237,1.4,16.6,148,,1019.7,1016.7,1021.1,1004.5
2025-02-15 01:00:00,14.2,5.1,22.3,14.2,5.6,63,30,99,,471.5,4,0,0,0,0,,0,104,237,4.7,33.2,187,,1019.1,1014.2,1022.5,998
2025-02-16 01:00:00,12.3,6.2,20.1,12.3,9,81,44,98,,553.1,5,0,0,0,0,,0,104,237,1.9,16.6,341,,1023.3,1020.5,1026.2,1001.3
2025-02-17 01:00:00,11.7,5.4,17.8,11.7,10.3,92,71,99,,465,14,6,4.3,4.3,0,,4.3,108.3,241.3,1,11.1,168,,1020.1,1017.4,1021.2,1003.4
2025-02-18 01:00:00,14.4,5.5,22.5,14.4,8.2,69,39,99,,547.5,5,0,0,0,0,,4.3,108.3,241.3,3.7,27.7,162,,1019.4,1015.4,1024.4,997.3
2025-02-19 01:00:00,13.5,6.9,21.2,13.5,9.1,77,52,98,,472.3,4,0,0,0,0,,4.3,108.3,241.3,1.6,18.3,150,,1024.7,1020.6,1028.8,1005.7
2025-02-20 01:00:00,15.5,6.8,22.1,15.5,10.7,75,50,99,,516.1,5,0,0,0,0,,4.3,108.3,241.3,3.8,53.3,146,,1020.8,1017.8,1022.6,1009
2025-02-21 01:00:00,18,9.4,22.4,18,10.1,62,42,98,,502.7,4,13.2,9.1,9.4,0.8,,14.2,118.2,251.2,11.9,69.8,225,,1018.9,1014.1,1024.6,1001.8
2025-02-22 01:00:00,10.8,5.6,17.6,10.8,8.3,86,57,99,,655.5,6,3,1.8,1.8,0,,0,119.2,252.2,1.3,13,75,,1024.3,1020.4,1027.6,1009.8
2025-02-23 01:00:00,10.4,3.2,20.2,10.4,7.3,83,53,99,,557,5,0,0,0,0,,0,119.2,252.2,1.6,11.1,143,,1020.8,1018.1,1022.1,1014.9
2025-02-24 01:00:00,16.4,7.6,22.1,16.4,7.4,58,33,91,,592.5,5,0,0,0,0,,0,119.2,252.2,9.3,53.3,207,,1018.3,1013.6,1023.3,1009.9
2025-02-25 01:00:00,9.7,6.2,15.3,9.6,7.9,89,72,98,,409,4,18.6,23.2,16.8,2.3,,25.5,144.7,277.7,4.7,27.7,312,,1025.5,1020.3,1032.2,1013.7
2025-02-26 01:00:00,8.7,3.4,15.5,8.7,5.4,82,42,99,,547.8,5,1.8,2.5,2.5,0,,25.7,144.9,277.9,1.7,14.8,96,,1019.1,1015.4,1020.9,1013.7
