Fecha,Temperatura Exterior (°C),Humedad Exterior (%),Sensación Térmica (°C),Velocidad del Viento (km/h),Dirección del Viento (°),Presión Relativa (hPa),Tasa de Precipitación (mm/h),Radiación Solar (W/m²),Índice UV
2024-12-11 18:35:00,6.0,97.0,6.0,0.0,153.0,1021.34,0.0,0.0,0.0
2024-12-11 18:40:00,6.0,96.0,6.0,0.0,137.0,1021.34,0.0,0.0,0.0
2024-12-11 18:45:00,6.0,96.0,6.0,0.0,121.0,1021.34,0.0,0.0,0.0
2024-12-11 18:50:00,6.0,95.0,6.0,2.25,133.0,1021.34,0.0,0.0,0.0
2024-12-11 18:55:00,6.11,93.0,6.11,1.77,133.0,1021.34,0.0,0.0,0.0
2024-12-11 19:00:00,6.33,91.0,6.33,1.29,136.0,1021.34,0.0,0.0,0.0
2024-12-11 19:05:00,6.44,90.0,6.44,0.16,142.0,1021.34,0.0,0.0,0.0
2024-12-11 19:10:00,6.39,90.0,6.39,0.0,103.0,1021.34,0.0,0.0,0.0
2024-12-11 19:15:00,6.44,89.0,6.44,0.8,131.0,1021.34,0.0,0.0,0.0
2024-12-11 19:20:00,6.61,89.0,6.61,0.0,139.0,1021.34,0.0,0.0,0.0
2024-12-11 19:25:00,6.61,90.0,6.61,0.0,122.0,1021.34,0.0,0.0,0.0
2024-12-11 19:30:00,6.39,92.0,6.39,0.0,99.0,1021.34,0.0,0.0,0.0
2024-12-11 19:35:00,6.28,92.0,6.28,0.97,75.0,1021.34,0.0,0.0,0.0
2024-12-11 19:40:00,6.22,92.0,6.22,0.64,78.0,1021.34,0.0,0.0,0.0
2024-12-11 19:45:00,6.22,92.0,6.22,0.16,107.0,1021.67,0.0,0.0,0.0
2024-12-11 19:50:00,6.22,92.0,6.22,0.16,116.0,1021.34,0.0,0.0,0.0
2024-12-11 19:55:00,6.22,93.0,6.22,0.0,137.0,1021.67,0.0,0.0,0.0
2024-12-11 20:00:00,6.22,94.0,6.22,0.16,169.0,1021.34,0.0,0.0,0.0
2024-12-11 20:05:00,6.17,94.0,6.17,0.8,151.0,1021.34,0.0,0.0,0.0
2024-12-11 20:10:00,6.11,94.0,6.11,0.48,129.0,1021.67,0.0,0.0,0.0
2024-12-11 20:15:00,6.11,94.0,6.11,0.32,112.0,1021.67,0.0,0.0,0.0
2024-12-11 20:20:00,6.06,94.0,6.06,0.0,111.0,1021.67,0.0,0.0,0.0
2024-12-11 20:25:00,6.11,94.0,6.11,0.0,111.0,1021.67,0.0,0.0,0.0
2024-12-11 20:30:00,6.11,95.0,6.11,0.0,155.0,1021.67,0.0,0.0,0.0
2024-12-11 20:35:00,6.06,95.0,6.06,0.0,70.0,1021.67,0.0,0.0,0.0
2024-12-11 20:40:00,6.0,95.0,6.0,0.0,301.0,1021.67,0.0,0.0,0.0
2024-12-11 20:45:00,5.83,96.0,5.83,0.0,17.0,1021.67,0.0,0.0,0.0
2024-12-11 20:50:00,5.72,96.0,5.72,0.0,34.0,1021.67,0.0,0.0,0.0
2024-12-11 20:55:00,5.78,96.0,5.78,0.0,122.0,1021.67,0.0,0.0,0.0
2024-12-11 21:00:00,5.78,97.0,5.78,0.0,174.0,1022.01,0.0,0.0,0.0
2024-12-11 21:05:00,5.72,97.0,5.72,0.0,164.0,1022.01,0.0,0.0,0.0
2024-12-11 21:10:00,5.61,97.0,5.61,0.0,150.0,1022.01,0.0,0.0,0.0
2024-12-11 21:15:00,5.61,97.0,5.61,0.0,150.0,1022.01,0.0,0.0,0.0
2024-12-11 21:20:00,5.56,97.0,5.56,0.0,150.0,1021.67,0.0,0.0,0.0
2024-12-11 21:25:00,5.5,97.0,5.5,0.0,150.0,1022.01,0.0,0.0,0.0
2024-12-11 21:30:00,5.39,97.0,5.39,0.0,150.0,1022.01,0.0,0.0,0.0
2024-12-11 21:35:00,5.44,98.0,5.44,0.0,164.0,1022.01,0.0,0.0,0.0
2024-12-11 21:40:00,5.5,98.0,5.5,0.0,140.0,1022.01,0.0,0.0,0.0
2024-12-11 21:45:00,5.5,98.0,5.5,0.0,112.0,1022.01,0.0,0.0,0.0
2024-12-11 21:50:00,5.5,98.0,5.5,0.48,48.0,1022.01,0.0,0.0,0.0
2024-12-11 21:55:00,5.5,98.0,5.5,0.0,188.0,1022.01,0.0,0.0,0.0
2024-12-11 22:00:00,5.5,98.0,5.5,0.0,190.0,1021.67,0.0,0.0,0.0
2024-12-11 22:05:00,5.5,98.0,5.5,0.0,178.0,1021.67,0.0,0.0,0.0
2024-12-11 22:10:00,5.33,98.0,5.33,0.0,139.0,1022.01,0.0,0.0,0.0
2024-12-11 22:15:00,5.33,98.0,5.33,0.32,186.0,1021.67,0.0,0.0,0.0
2024-12-11 22:20:00,5.5,98.0,5.5,0.0,189.0,1022.01,0.0,0.0,0.0
2024-12-11 22:25:00,5.56,97.0,5.56,0.0,190.0,1022.01,0.0,0.0,0.0
2024-12-11 22:30:00,5.5,98.0,5.5,0.0,199.0,1022.01,0.0,0.0,0.0
2024-12-11 22:35:00,5.5,98.0,5.5,0.0,208.0,1022.01,0.0,0.0,0.0
2024-12-11 22:40:00,5.39,98.0,5.39,0.16,149.0,1022.01,0.0,0.0,0.0
2024-12-11 22:45:00,5.39,98.0,5.39,0.48,112.0,1022.01,0.0,0.0,0.0
2024-12-11 22:50:00,5.5,97.0,5.5,0.0,270.0,1022.01,0.0,0.0,0.0
2024-12-11 22:55:00,5.39,97.0,5.39,0.48,25.0,1022.01,0.0,0.0,0.0
2024-12-11 23:00:00,5.33,97.0,5.33,0.16,41.0,1022.01,0.0,0.0,0.0
2024-12-11 23:05:00,5.39,97.0,5.39,0.0,150.0,1022.01,0.0,0.0,0.0
2024-12-11 23:10:00,5.39,97.0,5.39,0.0,128.0,1022.01,0.0,0.0,0.0
2024-12-11 23:15:00,5.39,97.0,5.39,0.0,127.0,1022.01,0.0,0.0,0.0
2024-12-11 23:20:00,5.39,97.0,5.39,0.0,130.0,1022.35,0.0,0.0,0.0
2024-12-11 23:25:00,5.33,97.0,5.33,0.32,83.0,1022.35,0.0,0.0,0.0
2024-12-11 23:30:00,5.33,97.0,5.33,0.0,129.0,1022.35,0.0,0.0,0.0
2024-12-11 23:35:00,5.33,97.0,5.33,0.0,178.0,1022.01,0.0,0.0,0.0
2024-12-11 23:40:00,5.28,97.0,5.28,0.0,107.0,1022.35,0.0,0.0,0.0
2024-12-11 23:45:00,5.28,97.0,5.28,0.0,219.0,1022.01,0.0,0.0,0.0
2024-12-11 23:50:00,5.22,97.0,5.22,0.0,224.0,1022.35,0.0,0.0,0.0
2024-12-11 23:55:00,5.17,97.0,5.17,0.0,224.0,1022.35,0.0,0.0,0.0
2024-12-12 00:00:00,5.17,97.0,5.17,0.0,224.0,1021.34,0.0,0.0,0.0
2024-12-12 00:05:00,5.22,97.0,5.22,0.32,135.0,1021.0,0.0,0.0,0.0
2024-12-12 00:10:00,5.22,98.0,5.22,0.16,109.0,1021.0,0.0,0.0,0.0
2024-12-12 00:15:00,5.11,98.0,5.11,0.16,146.0,1020.66,0.0,0.0,0.0
2024-12-12 00:20:00,5.11,98.0,5.11,0.0,142.0,1021.0,0.0,0.0,0.0
2024-12-12 00:25:00,5.0,98.0,5.0,0.0,138.0,1021.0,0.0,0.0,0.0
2024-12-12 00:30:00,5.0,98.0,5.0,0.0,208.0,1021.0,0.0,0.0,0.0
2024-12-12 00:35:00,4.94,98.0,4.94,0.0,194.0,1021.0,0.0,0.0,0.0
2024-12-12 00:40:00,4.89,98.0,4.89,1.13,171.0,1020.66,0.0,0.0,0.0
2024-12-12 00:45:00,4.89,99.0,4.89,1.29,165.0,1020.66,0.0,0.0,0.0
2024-12-12 00:50:00,4.89,99.0,4.89,0.16,176.0,1020.66,0.0,0.0,0.0
2024-12-12 00:55:00,4.89,99.0,4.89,0.0,167.0,1021.0,0.0,0.0,0.0
2024-12-12 01:00:00,4.89,99.0,4.89,0.0,165.0,1020.66,0.0,0.0,0.0
2024-12-12 01:05:00,4.83,99.0,4.83,0.16,84.0,1020.66,0.0,0.0,0.0
2024-12-12 01:10:00,4.83,99.0,4.83,0.32,182.0,1020.66,0.0,0.0,0.0
2024-12-12 01:15:00,4.78,99.0,4.78,0.64,168.0,1020.66,0.0,0.0,0.0
2024-12-12 01:20:00,4.78,99.0,4.78,0.0,170.0,1020.66,0.0,0.0,0.0
2024-12-12 01:25:00,4.72,99.0,4.72,0.0,154.0,1020.66,0.0,0.0,0.0
2024-12-12 01:30:00,4.78,99.0,4.78,0.0,143.0,1020.66,0.0,0.0,0.0
2024-12-12 01:35:00,4.78,99.0,4.78,0.32,177.0,1020.66,0.0,0.0,0.0
2024-12-12 01:40:00,4.72,99.0,4.72,0.16,154.0,1020.66,0.0,0.0,0.0
2024-12-12 01:45:00,4.78,99.0,4.78,2.09,148.0,1020.66,0.0,0.0,0.0
2024-12-12 01:50:00,4.78,99.0,4.78,0.0,169.0,1020.66,0.0,0.0,0.0
2024-12-12 01:55:00,4.72,99.0,4.72,0.0,190.0,1020.66,0.0,0.0,0.0
2024-12-12 02:00:00,4.72,99.0,4.72,0.32,127.0,1020.66,0.0,0.0,0.0
2024-12-12 02:05:00,4.67,99.0,4.67,0.0,100.0,1020.66,0.0,0.0,0.0
2024-12-12 02:10:00,4.61,99.0,4.61,0.8,159.0,1020.66,0.0,0.0,0.0
2024-12-12 02:15:00,4.61,99.0,4.61,1.29,137.0,1020.66,0.0,0.0,0.0
2024-12-12 02:20:00,4.5,99.0,4.5,0.0,147.0,1020.66,0.0,0.0,0.0
2024-12-12 02:25:00,4.61,99.0,4.61,0.64,322.0,1020.66,0.0,0.0,0.0
2024-12-12 02:30:00,4.61,99.0,4.61,0.32,35.0,1020.66,0.0,0.0,0.0
2024-12-12 02:35:00,4.61,99.0,4.61,0.0,178.0,1020.66,0.0,0.0,0.0
2024-12-12 02:40:00,4.56,99.0,4.56,0.0,176.0,1020.66,0.0,0.0,0.0
2024-12-12 02:45:00,4.56,99.0,4.56,0.0,186.0,1020.66,0.0,0.0,0.0
2024-12-12 02:50:00,4.5,99.0,4.5,0.0,13.0,1020.66,0.0,0.0,0.0
2024-12-12 02:55:00,4.5,99.0,4.5,0.0,85.0,1020.66,0.0,0.0,0.0
2024-12-12 03:00:00,4.5,99.0,4.5,0.0,153.0,1020.66,0.0,0.0,0.0
2024-12-12 03:05:00,4.5,99.0,4.5,0.0,152.0,1020.66,0.0,0.0,0.0
2024-12-12 03:10:00,4.61,99.0,4.61,0.0,149.0,1020.66,0.0,0.0,0.0
2024-12-12 03:15:00,4.5,99.0,4.5,0.0,158.0,1020.66,0.0,0.0,0.0
2024-12-12 03:20:00,4.5,99.0,4.5,0.0,175.0,1020.66,0.0,0.0,0.0
2024-12-12 03:25:00,4.5,99.0,4.5,0.0,164.0,1020.66,0.0,0.0,0.0
2024-12-12 03:30:00,4.5,99.0,4.5,0.0,185.0,1020.66,0.0,0.0,0.0
2024-12-12 03:35:00,4.5,99.0,4.5,0.0,167.0,1020.66,0.0,0.0,0.0
2024-12-12 03:40:00,4.56,99.0,4.56,0.0,164.0,1020.66,0.0,0.0,0.0
2024-12-12 03:45:00,4.61,99.0,4.61,0.0,100.0,1020.66,0.0,0.0,0.0
2024-12-12 03:50:00,4.61,99.0,4.61,0.0,54.0,1020.66,0.0,0.0,0.0
2024-12-12 03:55:00,4.61,99.0,4.61,0.0,174.0,1020.66,0.0,0.0,0.0
2024-12-12 04:00:00,4.5,99.0,4.5,0.0,176.0,1020.66,0.0,0.0,0.0
2024-12-12 04:05:00,4.5,99.0,4.5,0.0,158.0,1020.66,0.0,0.0,0.0
2024-12-12 04:10:00,4.5,99.0,4.5,0.0,161.0,1020.66,0.0,0.0,0.0
2024-12-12 04:15:00,4.5,99.0,4.5,0.0,176.0,1020.66,0.0,0.0,0.0
2024-12-12 04:20:00,4.5,99.0,4.5,0.0,167.0,1020.66,0.0,0.0,0.0
2024-12-12 04:25:00,4.5,99.0,4.5,0.0,190.0,1020.66,0.0,0.0,0.0
2024-12-12 04:30:00,4.5,99.0,4.5,0.0,173.0,1020.66,0.0,0.0,0.0
2024-12-12 04:35:00,4.5,99.0,4.5,0.0,165.0,1020.66,0.0,0.0,0.0
2024-12-12 04:40:00,4.5,99.0,4.5,0.0,280.0,1020.66,0.0,0.0,0.0
2024-12-12 04:45:00,4.5,99.0,4.5,0.0,210.0,1020.66,0.0,0.0,0.0
2024-12-12 04:50:00,4.5,99.0,4.5,0.0,102.0,1020.66,0.0,0.0,0.0
2024-12-12 04:55:00,4.5,99.0,4.5,0.0,350.0,1020.66,0.0,0.0,0.0
2024-12-12 05:00:00,4.5,99.0,4.5,0.0,18.0,1020.66,0.0,0.0,0.0
2024-12-12 05:05:00,4.39,99.0,4.39,0.0,18.0,1020.66,0.0,0.0,0.0
2024-12-12 05:10:00,4.39,99.0,4.39,0.0,19.0,1020.66,0.0,0.0,0.0
2024-12-12 05:15:00,4.39,99.0,4.39,0.16,185.0,1020.66,0.0,0.0,0.0
2024-12-12 05:20:00,4.39,99.0,4.39,1.29,160.0,1020.66,0.0,0.0,0.0
2024-12-12 05:25:00,4.39,99.0,4.39,0.16,132.0,1020.66,0.0,0.0,0.0
2024-12-12 05:30:00,4.39,99.0,4.39,0.0,125.0,1020.66,0.0,0.0,0.0
2024-12-12 05:35:00,4.39,99.0,4.39,0.0,202.0,1020.66,0.0,0.0,0.0
2024-12-12 05:40:00,4.33,99.0,4.33,0.0,205.0,1020.66,0.0,0.0,0.0
2024-12-12 05:45:00,4.28,99.0,4.28,0.0,162.0,1020.66,0.0,0.0,0.0
2024-12-12 05:50:00,4.22,99.0,4.22,0.0,132.0,1020.66,0.0,0.0,0.0
2024-12-12 05:55:00,4.22,99.0,4.22,0.0,133.0,1020.66,0.0,0.0,0.0
2024-12-12 06:00:00,4.17,99.0,4.17,0.0,140.0,1020.66,0.0,0.0,0.0
2024-12-12 06:05:00,4.17,99.0,4.17,0.0,159.0,1020.66,0.0,0.0,0.0
2024-12-12 06:10:00,4.17,99.0,4.17,0.0,162.0,1020.66,0.0,0.0,0.0
2024-12-12 06:15:00,4.11,99.0,4.11,0.0,151.0,1020.66,0.0,0.0,0.0
2024-12-12 06:20:00,4.06,99.0,4.06,0.0,143.0,1020.66,0.0,0.0,0.0
2024-12-12 06:25:00,4.0,99.0,4.0,0.0,160.0,1020.66,0.0,0.0,0.0
2024-12-12 06:30:00,4.0,99.0,4.0,0.0,144.0,1020.66,0.0,0.0,0.0
2024-12-12 06:35:00,3.89,99.0,3.89,0.0,169.0,1020.66,0.0,0.0,0.0
2024-12-12 06:40:00,3.83,99.0,3.83,0.0,98.0,1020.66,0.0,0.0,0.0
2024-12-12 06:45:00,3.78,99.0,3.78,0.0,126.0,1020.66,0.0,0.0,0.0
2024-12-12 06:50:00,3.83,99.0,3.83,0.0,119.0,1020.32,0.0,0.0,0.0
2024-12-12 06:55:00,3.89,99.0,3.89,0.0,54.0,1020.66,0.0,0.0,0.0
2024-12-12 07:00:00,3.78,99.0,3.78,0.0,116.0,1020.66,0.0,0.0,0.0
2024-12-12 07:05:00,3.56,99.0,3.56,0.0,154.0,1020.66,0.0,0.0,0.0
2024-12-12 07:10:00,3.44,99.0,3.44,1.29,144.0,1020.66,0.0,0.0,0.0
2024-12-12 07:15:00,3.33,99.0,3.33,0.97,184.0,1020.66,0.0,0.0,0.0
2024-12-12 07:20:00,3.17,99.0,3.17,0.0,149.0,1020.66,0.0,0.0,0.0
2024-12-12 07:25:00,3.11,99.0,3.11,0.32,69.0,1020.66,0.0,0.0,0.0
2024-12-12 07:30:00,3.0,99.0,3.0,0.0,164.0,1021.0,0.0,0.0,0.0
2024-12-12 07:35:00,2.94,99.0,2.94,0.0,73.0,1020.66,0.0,0.0,0.0
2024-12-12 07:40:00,2.83,99.0,2.83,1.13,170.0,1021.0,0.0,0.0,0.0
2024-12-12 07:45:00,2.61,99.0,2.61,0.48,125.0,1021.0,0.0,0.0,0.0
2024-12-12 07:50:00,2.61,99.0,2.61,0.0,128.0,1021.0,0.0,0.0,0.0
2024-12-12 07:55:00,2.56,99.0,2.56,0.0,180.0,1021.0,0.0,0.0,0.0
2024-12-12 08:00:00,2.28,99.0,2.28,0.0,168.0,1021.0,0.0,0.0,0.0
2024-12-12 08:05:00,2.28,99.0,2.28,0.0,116.0,1021.0,0.0,0.0,0.0
2024-12-12 08:10:00,2.44,99.0,2.44,0.0,105.0,1021.0,0.0,0.0,0.0
2024-12-12 08:15:00,2.17,99.0,2.17,0.0,173.0,1021.0,0.0,0.0,0.0
2024-12-12 08:20:00,1.89,99.0,1.89,0.0,156.0,1021.34,0.0,0.0,0.0
2024-12-12 08:25:00,1.94,99.0,1.94,0.0,165.0,1021.34,0.0,0.0,0.0
2024-12-12 08:30:00,1.72,99.0,1.72,0.0,158.0,1021.34,0.0,0.0,0.0
